Card Number,Month,Year,CVV
4349250468907384,05,2027,970
4349250468609097,05,2027,069
4349250468239440,05,2027,593
4349250468559227,05,2027,905
4349250468644458,05,2027,799
4349250468358117,05,2027,066
4349250468485068,05,2027,033
4349250468256337,05,2027,501
4349250468238251,05,2027,791
4349250468849073,05,2027,093
4349250468225217,05,2027,432
4349250468550127,05,2027,661
4349250468846467,05,2027,867
4349250468285377,05,2027,605
4349250468972677,05,2027,550
4349250468813467,05,2027,063
4349250468318277,05,2027,220
4349250468494847,05,2027,631
4349250468620037,05,2027,349
4349250468257657,05,2027,171
